note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
TAA-B07-14.net.zhdk.ch;FOC2733Y088;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B07-14.net.zhdk.ch;FOC2539Y67L;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-BD-IN1.net.zhdk.ch;CAT2402L64P;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9500-48Y4C
TAA-BD-SDA1.net.zhdk.ch;FCW2334G0YR;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9300-24UXB
TAA-C01-00.net.zhdk.ch;FOC2730Y1D5;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C01-00.net.zhdk.ch;FOC2729Y52Z;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C01-01.net.zhdk.ch;FOC2727Y31W;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C01-01.net.zhdk.ch;FOC2734Y4SD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C01-02.net.zhdk.ch;FVH2737L85V;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C01-02.net.zhdk.ch;FOC2730YC8E;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C02-03.net.zhdk.ch;FOC2730YC8G;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
